Data As Of,Start Date,End Date,Jurisdiction of Occurrence,Year,Month,All Cause,Natural Cause,Septicemia,Malignant Neoplasms,Diabetes Mellitus,Alzheimer Disease,Influenza and Pneumonia,Chronic Lower Respiratory Diseases,Other Diseases of Respiratory System,"Nephritis, Nephrotic Syndrome and Nephrosis","Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",Diseases of Heart,Cerebrovascular Diseases,Accidents (Unintentional Injuries),Motor Vehicle Accidents,Intentional Self-Harm (Suicide),Assault (Homicide),Drug Overdose,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),flag_accid,flag_mva,flag_suic,flag_homic,flag_drugod
12/22/2021,01/01/2020,01/31/2020,United States,2020,1,264663,242901,3687,52634,8233,11122,6655,15534,4496,4886,2752,60893,14112,15011,2914,4039,1707,6543,5,3,,,,,
12/22/2021,02/01/2020,02/29/2020,United States,2020,2,244942,224328,3323,48763,7766,10444,6144,14268,4066,4507,2601,56845,12816,14494,2910,3668,1470,6431,21,18,,,,,
12/22/2021,03/01/2020,03/31/2020,United States,2020,3,269778,247617,3669,51640,8433,11385,7579,15284,4499,4727,2811,60224,13742,15435,2874,3952,1693,7259,7162,6774,,,,,
12/22/2021,04/01/2020,04/30/2020,United States,2020,4,322371,300733,3367,48771,9439,12307,5786,13765,4027,4476,2825,62282,13420,15489,2569,3480,1756,7934,65494,61968,,,,,
12/22/2021,05/01/2020,05/31/2020,United States,2020,5,280496,255469,3085,49012,8361,10706,3612,12063,3490,4122,2535,56552,12776,18172,3363,3762,2064,9431,38308,35263,,,,,
12/22/2021,06/01/2020,06/30/2020,United States,2020,6,250401,225433,3036,47962,7629,9953,3074,10935,3281,4005,2498,53580,12316,17758,4025,3979,2260,8192,18015,15821,,,,,
12/22/2021,07/01/2020,07/31/2020,United States,2020,7,278954,252462,3128,50624,8639,11024,3333,11672,3310,4262,2895,57181,13023,18795,4105,4181,2420,8558,31126,28275,,,,,
12/22/2021,08/01/2020,08/31/2020,United States,2020,8,277209,251075,3267,51207,8298,10966,3207,11514,3391,4230,2851,56226,13094,18704,4223,4049,2341,8298,29899,27023,,,,,
12/22/2021,09/01/2020,09/30/2020,United States,2020,9,257109,232833,3135,49668,7992,10472,3083,11065,3303,3989,2626,53876,12770,17165,4080,3919,2187,7524,19146,16850,,,,,
12/22/2021,10/01/2020,10/31/2020,United States,2020,10,273784,249360,3250,51253,8314,11066,3338,11600,3558,4237,2734,56878,13615,17165,4188,3797,2361,7396,24914,22073,,,,,
12/22/2021,11/01/2020,11/30/2020,United States,2020,11,302412,278723,3388,49656,8883,11632,3535,12002,3641,4404,2873,58281,13555,16712,3799,3710,2236,7329,53226,48018,,,,,
12/22/2021,12/01/2020,12/31/2020,United States,2020,12,366980,342615,3778,51905,10297,13195,4285,13051,4099,4750,3305,65376,15268,17559,3581,3573,2221,7645,98112,89559,,,,,
12/22/2021,01/01/2021,01/31/2021,United States,2021,1,373466,348072,3693,51580,10250,12790,4255,12784,4150,5230,3259,65218,15101,18303,3427,3872,2131,8695,105411,96221,,,,,
12/22/2021,02/01/2021,02/28/2021,United States,2021,2,282442,259904,3367,46087,8481,9972,3391,10833,3558,4393,2907,56063,13125,16157,2796,3542,1808,7546,48463,42730,,,,,
12/22/2021,03/01/2021,03/31/2021,United States,2021,3,270839,245800,3391,50318,8599,9852,3335,11480,3767,4551,3319,57582,13668,18072,3512,3943,1892,8911,23179,19544,,,,,
12/22/2021,04/01/2021,04/30/2021,United States,2021,4,256807,231750,3051,49244,8107,8890,3059,10982,3501,4278,3480,54926,13132,18319,3870,3655,2016,8933,18713,15924,,,,,
12/22/2021,05/01/2021,05/31/2021,United States,2021,5,257922,232054,3118,50547,7976,9140,2926,11340,3713,4298,3692,55105,13079,18464,4070,4025,2291,8720,14918,12678,,,,,
12/22/2021,06/01/2021,06/30/2021,United States,2021,6,244427,218595,3144,49138,7685,8764,2838,11150,3577,4125,4043,53163,12439,,,,,,7963,6518,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
12/22/2021,07/01/2021,07/31/2021,United States,2021,7,256314,230157,3395,51048,7724,9015,3097,11670,3725,4298,4710,54694,12982,,,,,,11148,9675,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
12/22/2021,08/01/2021,08/31/2021,United States,2021,8,299615,274853,3323,51621,8496,9598,3338,11954,3760,4330,6691,56931,13103,,,,,,48262,44968,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
12/22/2021,09/01/2021,09/30/2021,United States,2021,9,305718,283928,3419,49346,8345,9792,3411,11471,3720,4433,9062,54416,12887,,,,,,62187,58085,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
12/22/2021,10/01/2021,10/31/2021,United States,2021,10,288121,269833,3556,50304,7967,9682,3457,11604,3777,4337,12637,54534,13417,,,,,,41266,37574,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
12/22/2021,11/01/2021,11/30/2021,United States,2021,11,258994,245739,3171,46077,7381,9651,3332,10866,3640,4071,14499,50870,12684,,,,,,29269,26343,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
12/22/2021,12/01/2021,12/18/2021,United States,2021,12,85895,83343,909,15472,2166,3338,1213,3766,1164,1374,5232,16807,4324,,,,,,11580,10647,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
